rx,tx,t_ms,rssi,snr
2,1,2431,-41.6473,55.329
2,1,2439,-41.6473,55.329
2,1,2531,-42.9365,54.0398
2,1,2631,-44.0426,52.9337
2,1,2639,-44.0426,52.9337
1,2,2675,-44.4427,52.5335
2,1,2831,-46.4566,50.5197
3,1,2831,-48.2532,48.7231
2,1,2839,-46.4566,50.5197
3,1,2839,-48.2532,48.7231
3,2,2875,-34.3532,62.6231
1,2,2875,-46.6588,50.3175
2,1,2939,-46.9136,50.0627
3,1,2939,-48.8403,48.1359
2,1,3031,-47.2183,49.7579
3,1,3031,-49.2726,47.7037
2,1,3039,-47.2183,49.7579
3,1,3039,-49.2726,47.7037
3,2,3060,-34.8593,62.117
1,2,3060,-47.2818,49.6945
3,2,3075,-34.8855,62.0908
1,2,3075,-47.3002,49.6761
2,1,3131,-47.3811,49.5952
3,1,3131,-49.5649,47.4113
2,1,3139,-47.3811,49.5952
3,1,3139,-49.5649,47.4113
2,1,3231,-47.4561,49.5202
3,1,3231,-49.7711,47.2052
2,1,3239,-47.4561,49.5202
3,1,3239,-49.7711,47.2052
3,2,3260,-35.3791,61.5972
1,2,3260,-47.4704,49.5059
3,2,3275,-35.405,61.5713
1,2,3275,-47.4741,49.5022
2,1,3331,-47.4886,49.4877
3,1,3331,-49.9358,47.0405
2,1,3339,-47.4886,49.4877
3,1,3339,-49.9358,47.0405
3,2,3360,-35.6379,61.3384
1,2,3360,-47.4904,49.4859
2,1,3431,-47.4809,49.4954
3,1,3431,-50.0613,46.915
2,1,3439,-47.4809,49.4954
3,1,3439,-50.0613,46.915
3,2,3460,-35.8923,61.084
1,2,3460,-47.4713,49.505
3,2,3475,-35.9171,61.0592
1,2,3475,-47.4673,49.509
2,3,3511,-36.0149,60.9614
1,3,3511,-50.1339,46.8424
3,2,3675,-36.4031,60.5732
1,2,3675,-47.3054,49.6709
2,3,3711,-36.5004,60.4759
1,3,3711,-50.2125,46.7638
2,1,3831,-47.0599,49.9164
3,1,3831,-50.2124,46.7639
2,3,3840,-36.8523,60.124
1,3,3840,-50.2123,46.764
3,2,3875,-36.9489,60.0273
1,2,3875,-46.9827,49.9935
2,3,3911,-37.0863,59.89
1,3,3911,-50.2123,46.764
3,2,4060,-37.6869,59.2894
1,2,4060,-46.5248,50.4515
3,2,4075,-37.7316,59.2447
1,2,4075,-46.4964,50.4799
2,3,4111,-37.9167,59.0596
1,3,4111,-50.212,46.7643
3,2,4275,-38.7466,58.2297
1,2,4275,-45.8294,51.1469
2,3,4311,-38.9761,58.0002
1,3,4311,-50.2117,46.7646
2,1,4439,-45.1407,51.8355
3,1,4439,-50.212,46.7643
3,2,4475,-39.9784,56.9979
1,2,4475,-44.9451,52.0312
3,2,4675,-41.3663,55.61
1,2,4675,-43.8204,53.1559
2,1,4831,-42.71,54.2663
3,1,4831,-50.2123,46.7639
2,3,4840,-42.6391,54.3372
1,3,4840,-50.2123,46.764
1,2,4875,-42.4006,54.5757
3,2,4875,-42.8692,54.1071
1,2,5060,-40.7212,56.2551
3,2,5060,-44.362,52.6143
1,2,5075,-40.6231,56.3532
3,2,5075,-44.4412,52.5351
1,2,5275,-38.4477,58.5285
3,2,5275,-46.0312,50.9451
2,3,5311,-46.3485,50.6278
1,3,5311,-50.2123,46.764
5,4,5352,-75.5079,21.4684
2,1,5439,-36.4301,60.5461
3,1,5439,-50.2122,46.7641
1,2,5475,-35.8989,61.0773
3,2,5475,-47.6074,49.3689
5,4,5552,-75.5108,21.4654
1,2,5560,-34.7,62.2763
3,2,5560,-48.3102,48.6661
8,2,5560,-55.5997,41.3765
8,3,5640,-45.2564,51.7199
2,3,5640,-48.9296,48.0467
1,3,5640,-50.2124,46.7639
1,2,5675,-33.3505,63.6258
3,2,5675,-49.1608,47.8155
8,2,5675,-56.3196,40.6567
8,3,5740,-45.6613,51.315
2,3,5740,-49.6987,47.2776
1,3,5740,-50.2127,46.7636
5,4,5752,-75.5089,21.4674
1,2,5760,-32.523,64.4533
3,2,5760,-49.8514,47.1248
8,2,5760,-56.8779,40.0984
2,1,5831,-32.1922,64.7841
3,1,5831,-50.2129,46.7633
8,1,5831,-57.2937,39.6825
8,3,5840,-45.9996,50.9767
1,3,5840,-50.213,46.7633
2,3,5840,-50.4587,46.5176
1,2,5860,-32.1577,64.8186
3,2,5860,-50.6098,46.3665
8,2,5860,-57.4681,39.5082
4,5,5867,-75.5062,21.47
1,2,5875,-32.1618,64.8145
3,2,5875,-50.6852,46.2911
8,2,5875,-57.5255,39.4507
8,3,5940,-46.2762,50.7001
1,3,5940,-50.2131,46.7631
2,3,5940,-51.2102,45.7661
5,4,5952,-75.5037,21.4726
1,2,5960,-32.5573,64.419
3,2,5960,-51.3592,45.6171
8,2,5960,-58.0304,38.9459
8,3,6040,-46.4953,50.481
1,3,6040,-50.2133,46.7629
2,3,6040,-51.9519,45.0244
1,2,6060,-33.6804,63.2958
3,2,6060,-52.0992,44.8771
8,2,6060,-58.5678,38.4085
4,5,6067,-75.5,21.4763
1,2,6075,-33.824,63.1523
3,2,6075,-52.1727,44.8036
8,2,6075,-58.6203,38.356
8,3,6140,-46.6622,50.3141
1,3,6140,-50.2139,46.7624
2,3,6140,-52.6824,44.2939
3,8,6142,-46.6622,50.3141
1,8,6142,-57.5896,39.3867
2,8,6142,-58.9807,37.9956
5,4,6152,-75.4968,21.4794
5,4,6182,-75.4958,21.4805
4,5,6267,-75.493,21.4832
1,2,6275,-37.2841,59.6922
